0|iata_code|1|name_eng|2|country_eng
AGY|AGY|Argyle Downs|Argyle Downs|Australia|Australia
AGZ|AGZ|Aggeneys|Aggeneys|South Africa|South Africa
AHA|AHA|Naha Air Force Base|Naha Air Force Base|Japan|Japan
AHB|AHB|Abha|Abha|Saudi Arabia|Saudi Arabia
AHC|AHC|Amedee AAF|Amedee AAF|Norway|Norway
AHD|AHD|Downtown|Downtown|United States|United States
AHE|AHE|Ahe Airport|Ahe Airport|French Polynesia|French Polynesia
AHF|AHF|Municipal|Municipal|Guatemala|Guatemala
AHH|AHH|Municipal|Municipal|United States|United States
AHI|AHI|Amahai|Amahai|Indonesia|Indonesia
AHL|AHL|Aishalton|Aishalton|Guyana|Guyana
AHN|AHN|Athens|Athens|Greece|Greece
AHO|AHO|Fertilia|Fertilia|Italy|Italy
AHS|AHS|Ahuas|Ahuas|Honduras|Honduras
AHT|AHT|Amchitka|Amchitka|United States|United States
AHU|AHU|Charif Al Idrissi|Charif Al Idrissi|Morocco|Morocco
AHY|AHY|Ambatolahy|Ambatolahy|Madagascar|Madagascar
AHZ|AHZ|Alpe D Huez|Alpe D Huez|France|France
AIA|AIA|Alliance|Alliance|United States|United States
AIB|AIB|Anita Bay|Anita Bay|United States|United States
AIC|AIC|Airok|Airok|Marshall Islands|Marshall Islands
AID|AID|Municipal|Municipal|United States|United States
AIE|AIE|Aiome|Aiome|Papua New Guinea|Papua New Guinea
AIF|AIF|Assis|Assis|Brazil|Brazil
AIG|AIG|Yalinga|Yalinga|Central African Republic|Central African Republic
AIH|AIH|Aiambak|Aiambak|Papua New Guinea|Papua New Guinea
AII|AII|Alisabieh|Alisabieh|Djibouti|Djibouti
AIK|AIK|Municipal|Municipal|United States|United States
AIL|AIL|Ailigandi|Ailigandi|Panama|Panama
AIM|AIM|Ailuk Island|Ailuk Island|Marshall Islands|Marshall Islands
AIN|AIN|Wainwright|Wainwright|United States|United States
AIO|AIO|Municipal|Municipal|United States|United States
AIP|AIP|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands|Marshall Islands
AIR|AIR|Aripuana|Aripuana|Brazil|Brazil
AIS|AIS|Arorae Island|Arorae Island|Kiribati|Kiribati
AIT|AIT|Aitutaki|Aitutaki|Cook Islands|Cook Islands
AIU|AIU|Atiu Island|Atiu Island|Cook Islands|Cook Islands
AIV|AIV|George Downer|George Downer|United States|United States
AIW|AIW|Ai-ais|Ai-ais|Namibia|Namibia
AIY|AIY|Bader Field|Bader Field|United States|United States
AIZ|AIZ|Lee C Fine Memorial|Lee C Fine Memorial|United States|United States
AJA|AJA|Campo Dell Oro|Campo Dell Oro|France|France
AJF|AJF|Jouf|Jouf|Saudi Arabia|Saudi Arabia
AJI|AJI|A&amp;#287;ri|A&amp;#287;ri|Italy|Italy
AJJ|AJJ|Akjoujt|Akjoujt|Mauritania|Mauritania
AJK|AJK|Araak|Araak|Iran|Iran
AJL|AJL|Aizawl|Aizawl|India|India
AJN|AJN|Ouani|Ouani|Comoros|Comoros
AJO|AJO|Aljouf|Aljouf|Yemen|Yemen
AJR|AJR|Arvidsjaur|Arvidsjaur|Sweden|Sweden
AJS|AJS|Abreojos|Abreojos|Mexico|Mexico
AJU|AJU|Santa Maria|Santa Maria|Brazil|Brazil
AJY|AJY|Agades|Agades|Niger|Niger
AKA|AKA|Ankang|Ankang|China|China
AKB|AKB|Atka|Atka|United States|United States
AKC|AKC|Fulton International|Fulton International|South Africa|South Africa
AKD|AKD|Akola|Akola|India|India
AKE|AKE|Akieni|Akieni|Gabon|Gabon
AKF|AKF|Kufrah|Kufrah|Libya|Libya
AKG|AKG|Anguganak|Anguganak|Papua New Guinea|Papua New Guinea
AKH|AKH|Prince Sultan Air Base|Prince Sultan Air Base|Saudi Arabia|Saudi Arabia
AKI|AKI|Akiak|Akiak|United States|United States
AKJ|AKJ|Asahikawa|Asahikawa|Japan|Japan
AKK|AKK|Akhiok SPB|Akhiok SPB|United States|United States
AKL|AKL|Auckland International|Auckland International|New Zealand|New Zealand
AKM|AKM|Zakouma|Zakouma|Chad|Chad
AKN|AKN|King Salmon|King Salmon|United States|United States
AKO|AKO|Colorado Plains Regional Airport|Colorado Plains Regional Airport|United States|United States
AKP|AKP|Anaktuvuk|Anaktuvuk|United States|United States
AKQ|AKQ|Gunung Batin|Gunung Batin|Indonesia|Indonesia
AKR|AKR|Akure|Akure|Nigeria|Nigeria
AKT|AKT|Akrotiri Raf|Akrotiri Raf|Cyprus|Cyprus
AKU|AKU|Aksu|Aksu|China|China
AKV|AKV|Akulivik|Akulivik|Canada|Canada
AKW|AKW|Aghajari|Aghajari|Iran|Iran
AKX|AKX|Aktyubinsk|Aktyubinsk|Kazakhstan|Kazakhstan
AKY|AKY|Civil|Civil|Myanmar|Myanmar
ALA|ALA|Almaty|Almaty|Kazakhstan|Kazakhstan
ALB|ALB|Albany International|Albany International|United States|United States
ALC|ALC|Alicante El Altet|Alicante El Altet|Spain|Spain
ALD|ALD|Alerta|Alerta|Peru|Peru
ALE|ALE|Alpine|Alpine|United States|United States
ALF|ALF|Alta|Alta|Norway|Norway
ALG|ALG|Houari Boumediene|Houari Boumediene|Algeria|Algeria
ALH|ALH|Albany|Albany|Australia|Australia
ALI|ALI|International|International|United States|United States
ALJ|ALJ|Kortdoorn|Kortdoorn|South Africa|South Africa
ALK|ALK|Asela|Asela|Ethiopia|Ethiopia
ALL|ALL|Albenga|Albenga|Italy|Italy
ALM|ALM|Municipal|Municipal|United States|United States
ALN|ALN|Alton|Alton|United States|United States
ALO|ALO|Waterloo|Waterloo|United States|United States
ALP|ALP|Nejrab|Nejrab|Syria|Syria
ALQ|ALQ|Federal|Federal|Brazil|Brazil
ALR|ALR|Alexandra|Alexandra|New Zealand|New Zealand
ALS|ALS|Municipal|Municipal|United States|United States
ALT|ALT|Alenquer|Alenquer|Brazil|Brazil
ALU|ALU|Alula|Alula|Somalia|Somalia
ALV|ALV|Andorra La Vella H/P|Andorra La Vella H/P|Andorra|Andorra
ALW|ALW|Walla Walla|Walla Walla|United States|United States
ALX|ALX|Thomas C Russell Fld|Thomas C Russell Fld|United States|United States
ALY|ALY|El Nohza|El Nohza|Egypt|Egypt
ALZ|ALZ|Alitak SPB|Alitak SPB|United States|United States
AMA|AMA|Rick Husband Amarillo International|Rick Husband Amarillo International|United States|United States
AMB|AMB|Ambilobe|Ambilobe|Madagascar|Madagascar
AMC|AMC|Am Timan|Am Timan|Chad|Chad
AMD|AMD|Ahmedabad|Ahmedabad|India|India
AME|AME|Alto Molocue|Alto Molocue|Mozambique|Mozambique
AMF|AMF|Ama|Ama|Papua New Guinea|Papua New Guinea
AMG|AMG|Amboin|Amboin|Papua New Guinea|Papua New Guinea
AMH|AMH|Arba Mintch|Arba Mintch|Ethiopia|Ethiopia
AMI|AMI|Selaparang|Selaparang|Indonesia|Indonesia
AMJ|AMJ|Almenara|Almenara|Brazil|Brazil
AMK|AMK|Animas Airpark|Animas Airpark|United States|United States
AML|AML|Puerto Armuellas|Puerto Armuellas|Panama|Panama
AMM|AMM|Queen Alia Intl|Queen Alia Intl|Jordan|Jordan
AMN|AMN|Gratiot Community|Gratiot Community|United States|United States
AMO|AMO|Mao|Mao|Chad|Chad
AMP|AMP|Ampanihy|Ampanihy|Madagascar|Madagascar
AMQ|AMQ|Pattimura|Pattimura|Indonesia|Indonesia
AMR|AMR|Arno|Arno|Marshall Islands|Marshall Islands
AMS|AMS|Amsterdam-Schiphol|Amsterdam-Schiphol|Netherlands|Netherlands
AMT|AMT|Amata|Amata|Australia|Australia
AMU|AMU|Amanab|Amanab|Papua New Guinea|Papua New Guinea
AMV|AMV|Amderma|Amderma|Russian Federation|Russian Federation
AMW|AMW|Ames|Ames|United States|United States
AMX|AMX|Ammaroo|Ammaroo|Australia|Australia
AMY|AMY|Ambatomainty|Ambatomainty|Madagascar|Madagascar
AMZ|AMZ|Ardmore|Ardmore|New Zealand|New Zealand
ANA|ANA|Orange County Steel Salvage Heliport|Orange County Steel Salvage Heliport|United States|United States
ANB|ANB|Anniston Metropolitan|Anniston Metropolitan|United States|United States
ANC|ANC|Ted Stevens Anchorage International Airport|Ted Stevens Anchorage International Airport|United States|United States
AND|AND|Anderson|Anderson|United States|United States
ANE|ANE|Marce|Marce|France|France
ANF|ANF|Cerro Moreno|Cerro Moreno|Chile|Chile
ANG|ANG|Brie-Champniers|Brie-Champniers|France|France
ANH|ANH|Anuha Island Resort|Anuha Island Resort|Solomon Islands|Solomon Islands
ANI|ANI|Aniak|Aniak|United States|United States
ANJ|ANJ|Zanaga|Zanaga|Congo|Congo
ANK|ANK|Etimesgut|Etimesgut|Turkey|Turkey
ANL|ANL|Andulo|Andulo|Angola|Angola
ANM|ANM|Antsirabato|Antsirabato|Madagascar|Madagascar
ANN|ANN|Annette Island|Annette Island|United States|United States
ANO|ANO|Angoche|Angoche|Mozambique|Mozambique
ANP|ANP|Lee|Lee|United States|United States
ANQ|ANQ|Tri-State Steuben Cty|Tri-State Steuben Cty|United States|United States
ANR|ANR|Deurne|Deurne|Belgium|Belgium
ANS|ANS|Andahuaylas|Andahuaylas|Peru|Peru
ANT|ANT|St Anton|St Anton|Austria|Austria
ANU|ANU|V. C. Bird Intl|V. C. Bird Intl|Antigua And Barbuda|Antigua And Barbuda
ANV|ANV|Anvik|Anvik|United States|United States
ANW|ANW|Ainsworth|Ainsworth|United States|United States
ANX|ANX|Andenes|Andenes|Norway|Norway
ANY|ANY|Anthony|Anthony|United States|United States
ANZ|ANZ|Angus Downs|Angus Downs|Australia|Australia
AOA|AOA|Aroa|Aroa|Papua New Guinea|Papua New Guinea
AOB|AOB|Annanberg|Annanberg|Papua New Guinea|Papua New Guinea
AOC|AOC|Altenburg Nobitz|Altenburg Nobitz|Germany|Germany
AOD|AOD|Abou Deia|Abou Deia|Chad|Chad
AOE|AOE|Anadolu University|Anadolu University|Turkey|Turkey
AOG|AOG|Anshan|Anshan|China|China
AOH|AOH|Allen County|Allen County|United States|United States
AOI|AOI|Falconara|Falconara|Italy|Italy
AOJ|AOJ|Aomori|Aomori|Japan|Japan
AOK|AOK|Karpathos|Karpathos|Greece|Greece
AOL|AOL|Paso De Los Libres|Paso De Los Libres|Argentina|Argentina
AON|AON|Arona|Arona|Solomon Islands|Solomon Islands
AOO|AOO|Martinsburg|Martinsburg|United States|United States
AOR|AOR|Alor Setar|Alor Setar|Malaysia|Malaysia
AOS|AOS|Amook|Amook|United States|United States
AOT|AOT|Corrado Gex|Corrado Gex|Italy|Italy
AOU|AOU|Attopeu|Attopeu|Laos|Laos
APA|APA|Arapahoe Co|Arapahoe Co|United States|United States
APB|APB|Apolo|Apolo|Bolivia|Bolivia
APC|APC|Napa County|Napa County|United States|United States
APE|APE|San Juan Aposento|San Juan Aposento|Peru|Peru
APF|APF|Naples|Naples|United States|United States
APG|APG|Phillips AAF|Phillips AAF|United States|United States
APH|APH|Camp A P Hill|Camp A P Hill|United States|United States
API|API|Apiay|Apiay|Colombia|Colombia
APK|APK|Apataki|Apataki|French Polynesia|French Polynesia
APL|APL|Nampula|Nampula|Mozambique|Mozambique
APN|APN|Alpena County Regional|Alpena County Regional|United States|United States
APO|APO|Apartado|Apartado|Colombia|Colombia
APP|APP|Asapa|Asapa|Papua New Guinea|Papua New Guinea
APQ|APQ|Arapiraca|Arapiraca|Brazil|Brazil
APR|APR|April River|April River|Papua New Guinea|Papua New Guinea
APS|APS|Anapolis|Anapolis|Brazil|Brazil
APT|APT|Marion County|Marion County|United States|United States
APU|APU|Apucarana|Apucarana|Brazil|Brazil
APV|APV|Apple Valley|Apple Valley|United States|United States
APW|APW|Faleolo|Faleolo|Samoa|Samoa
APX|APX|Arapongas|Arapongas|Brazil|Brazil
APY|APY|Alto Parnaiba|Alto Parnaiba|Brazil|Brazil
APZ|APZ|Zapala|Zapala|Argentina|Argentina
AQA|AQA|Araraquara|Araraquara|Brazil|Brazil
AQB|AQB|Quiche Airport|Quiche Airport|Guatemala|Guatemala
AQG|AQG|Anqing|Anqing|China|China
AQI|AQI|Qaisumah|Qaisumah|Saudi Arabia|Saudi Arabia
AQJ|AQJ|King Hussein Intl|King Hussein Intl|Jordan|Jordan
AQM|AQM|Ariquemes|Ariquemes|Brazil|Brazil
AQP|AQP|Rodriguez Ballon|Rodriguez Ballon|Peru|Peru
AQS|AQS|Saqani|Saqani|Fiji|Fiji
AQY|AQY|Alyeska|Alyeska|United States|United States
ARA|ARA|Acadiana Regional|Acadiana Regional|United States|United States
ARB|ARB|Municipal|Municipal|United States|United States
ARC|ARC|Arctic Village|Arctic Village|United States|United States
ARD|ARD|Alor Island|Alor Island|Indonesia|Indonesia
ARE|ARE|Arecibo|Arecibo|Puerto Rico|Puerto Rico
ARF|ARF|Acaricuara|Acaricuara|Colombia|Colombia
ARG|ARG|Walnut Ridge|Walnut Ridge|United States|United States
ARH|ARH|Talagi|Talagi|Russian Federation|Russian Federation
ARI|ARI|Chacalluta|Chacalluta|Chile|Chile
ARJ|ARJ|Arso|Arso|Indonesia|Indonesia
ARK|ARK|Arusha|Arusha|Tanzania|Tanzania
ARL|ARL|Arly|Arly|Burkina Faso|Burkina Faso
ARM|ARM|Armidale|Armidale|Australia|Australia
ARN|ARN|Arlanda|Arlanda|Sweden|Sweden
ARO|ARO|Arboletas|Arboletas|Colombia|Colombia
ARP|ARP|Aragip|Aragip|Papua New Guinea|Papua New Guinea
ARQ|ARQ|Arauquita|Arauquita|Colombia|Colombia
ARR|ARR|Alto Rio Senguerr|Alto Rio Senguerr|Argentina|Argentina
ARS|ARS|Aragarcas|Aragarcas|Brazil|Brazil
ART|ART|Watertown|Watertown|United States|United States
ARU|ARU|Aracatuba|Aracatuba|Brazil|Brazil
ARV|ARV|Noble F. Lee|Noble F. Lee|United States|United States
ARW|ARW|Arad|Arad|Romania|Romania
ARX|ARX|Asbury Park|Asbury Park|United States|United States
ARY|ARY|Ararat|Ararat|Australia|Australia
ASA|ASA|Assab International|Assab International|Eritrea|Eritrea
ASB|ASB|Ashgabat|Ashgabat|Turkmenistan|Turkmenistan
ASC|ASC|Ascension|Ascension|Bolivia|Bolivia
ASD|ASD|Andros Town|Andros Town|Bahamas|Bahamas
ASE|ASE|Aspen|Aspen|United States|United States
ASF|ASF|Astrakhan|Astrakhan|Russian Federation|Russian Federation
ASG|ASG|Ashburton|Ashburton|New Zealand|New Zealand
ASH|ASH|Boire Field|Boire Field|United States|United States
ASI|ASI|Wideawake Field|Wideawake Field|St. Helena|St. Helena
ASJ|ASJ|Amami O Shima|Amami O Shima|Japan|Japan
ASK|ASK|Yamoussoukro|Yamoussoukro|Cote D&#039;Ivoire|Cote D&#039;Ivoire
ASL|ASL|Harrison County|Harrison County|United States|United States
ASM|ASM|Yohannes IV|Yohannes IV|Eritrea|Eritrea
ASN|ASN|Talladega|Talladega|United States|United States
ASO|ASO|Asosa|Asosa|Ethiopia|Ethiopia
ASP|ASP|Alice Springs|Alice Springs|Australia|Australia
ASQ|ASQ|Austin|Austin|United States|United States
ASR|ASR|Erkilet International Airport|Erkilet International Airport|Turkey|Turkey
AST|AST|Astoria|Astoria|United States|United States
ASU|ASU|Silvio Pettirossi|Silvio Pettirossi|Paraguay|Paraguay
ASV|ASV|Amboseli|Amboseli|Kenya|Kenya
ASW|ASW|Aswan|Aswan|Egypt|Egypt
ASX|ASX|Ashland|Ashland|United States|United States
ASY|ASY|Ashley|Ashley|United States|United States
ASZ|ASZ|Asirim|Asirim|Papua New Guinea|Papua New Guinea
ATA|ATA|Anta|Anta|Peru|Peru
ATB|ATB|Atbara|Atbara|Sudan|Sudan
ATD|ATD|Atoifi|Atoifi|Solomon Islands|Solomon Islands
ATE|ATE|Antlers|Antlers|United States|United States
ATF|ATF|Chachoan|Chachoan|Ecuador|Ecuador
ATG|ATG|Attock|Attock|Pakistan|Pakistan
ATH|ATH|Eleftherios Venizelos|Eleftherios Venizelos|Greece|Greece
ATI|ATI|Artigas|Artigas|Uruguay|Uruguay
ATJ|ATJ|Antsirabe|Antsirabe|Madagascar|Madagascar
ATK|ATK|Atqasuk|Atqasuk|United States|United States
ATL|ATL|Hartsfield-jackson Atlanta International|Hartsfield-jackson Atlanta International|United States|United States
ATM|ATM|Altamira|Altamira|Brazil|Brazil
ATN|ATN|Namatanai|Namatanai|Papua New Guinea|Papua New Guinea
ATO|ATO|Ohio University|Ohio University|Greece|Greece
ATP|ATP|Airstrip|Airstrip|Papua New Guinea|Papua New Guinea
ATQ|ATQ|Raja Sansi|Raja Sansi|India|India
ATR|ATR|Mouakchott|Mouakchott|Mauritania|Mauritania
ATS|ATS|Artesia|Artesia|United States|United States
ATT|ATT|Atmautluak|Atmautluak|United States|United States
ATU|ATU|Casco Cove|Casco Cove|United States|United States
ATV|ATV|Ati|Ati|Chad|Chad
ATW|ATW|Outagamie County|Outagamie County|United States|United States
ATX|ATX|Atbasar|Atbasar|Kazakhstan|Kazakhstan
ATY|ATY|Watertown|Watertown|United States|United States
ATZ|ATZ|Assiut|Assiut|Egypt|Egypt
AUA|AUA|Reina Beatrix|Reina Beatrix|Aruba|Aruba
AUB|AUB|Itauba|Itauba|Brazil|Brazil
AUC|AUC|Arauca|Arauca|Colombia|Colombia
AUD|AUD|Augustus Downs|Augustus Downs|Australia|Australia
AUE|AUE|Abu Rudeis|Abu Rudeis|Egypt|Egypt
AUF|AUF|Auxerre Branches|Auxerre Branches|France|France
AUG|AUG|Augusta|Augusta|United States|United States
AUH|AUH|Abu Dhabi International|Abu Dhabi International|United Arab Emirates|United Arab Emirates
AUI|AUI|Aua Island|Aua Island|Papua New Guinea|Papua New Guinea
AUJ|AUJ|Ambunti|Ambunti|Papua New Guinea|Papua New Guinea
AUK|AUK|Alakanuk|Alakanuk|United States|United States
AUL|AUL|Aur Island|Aur Island|Marshall Islands|Marshall Islands
AUM|AUM|Austin|Austin|United States|United States
AUN|AUN|Auburn|Auburn|United States|United States
AUO|AUO|Auburn-Opelika|Auburn-Opelika|United States|United States
AUP|AUP|Agaun|Agaun|Papua New Guinea|Papua New Guinea
AUQ|AUQ|Atuona|Atuona|French Polynesia|French Polynesia
AUR|AUR|Aurillac|Aurillac|France|France
